sample_name	petal_length	sepal_length
sample1	2.0372135455745646	5.172704440755739
sample2	4.915837058559057	6.149615365303663
sample3	1.6143144404422318	5.939969222731516
sample4	1.5257094629553694	6.603431558181939
sample5	3.729975414145268	6.065105089620714
sample6	0.778760022457981	5.173369526730655
sample7	5.291488606290831	7.381162369515891
sample8	5.486099357579179	6.529423906221605
sample9	1.5888847511006476	5.4471825164376435
sample10	3.5060565464708215	5.821898711988934
sample11	1.034730872389714	5.7191141594954535
sample12	3.9184146064300767	5.32433750535842
sample13	4.704222691916959	6.241320619454232
sample14	1.2743118663460602	5.460195145790822
sample15	4.027879380970229	6.018648753254772
sample16	1.0526702377383088	6.14915823721137
sample17	5.124327526301326	5.799524450012601
sample18	0.7278537859299755	5.111054505848967
sample19	1.8891597529752093	5.093237431997449
sample20	5.857769832993729	4.775423113784206
sample21	0.9823765564976253	4.570140552731289
sample22	1.6422515479334021	5.496335497225293
sample23	1.8138118759285806	4.62066074530137
sample24	1.675574447460285	6.098174133374835
sample25	1.4019996878544254	4.044936687505984
sample26	5.010073235092442	6.460642131711677
sample27	1.5471793166899546	3.81078255673585
sample28	5.583384761827779	6.768361361219995
sample29	5.602358230386056	5.73482329799468
sample30	0.9995124467490959	5.6448091608862
sample31	6.357546048970175	6.109699272879276
sample32	1.5984496681847908	5.633241635573474
sample33	6.383405004182107	5.473321810175103
sample34	3.502308512726084	6.466853511245397
sample35	1.489133958335047	5.992310194737472
sample36	1.4144863580569658	4.2119740358904725
sample37	4.695659246296348	5.889834776369494
sample38	4.3146508860279305	6.078577681601839
sample39	4.332901307434329	6.525604264626423
sample40	5.355376889210996	6.257550125001437
sample41	4.215725527898536	5.083585059284203
sample42	5.547972099580166	6.519929044689163
sample43	4.877986170333111	5.499600054451635
sample44	1.9922623575693026	5.392825131125007
sample45	1.5149881051805887	5.229604218306541
sample46	1.624964587502328	4.50732836329002
sample47	1.6004321884727593	5.609623442827154
sample48	1.4375633938613077	5.288216939487399
sample49	1.5492498365689618	5.4965059649488035
sample50	5.1135973948012285	5.029043605683266
